WARNING:root:modisC2R2_241_29-Aug-2017 at (col, row): (2, 16) exported with final state: COMPLETED
WARNING:root:modisC2R2_248_05-Sep-2017 at (col, row): (2, 17) exported with final state: COMPLETED
WARNING:root:ls8C0R0_321_17-Nov-2017 at (col, row): (0, 0) exported with final state: COMPLETED
WARNING:root:ls8C0R0_328_24-Nov-2017 at (col, row): (0, 1) exported with final state: COMPLETED
WARNING:root:ls8C0R1_321_17-Nov-2017 at (col, row): (0, 2) exported with final state: COMPLETED
WARNING:root:ls8C0R1_328_24-Nov-2017 at (col, row): (0, 3) exported with final state: COMPLETED
WARNING:root:ls8C0R2_321_17-Nov-2017 at (col, row): (0, 4) exported with final state: COMPLETED
WARNING:root:ls8C0R2_328_24-Nov-2017 at (col, row): (0, 5) exported with final state: COMPLETED
WARNING:root:ls8C0R2_241_29-Aug-2017 at (col, row): (0, 6) exported with final state: COMPLETED
WARNING:root:ls8C0R2_248_05-Sep-2017 at (col, row): (0, 7) exported with final state: COMPLETED
WARNING:root:ls8C1R0_321_17-Nov-2017 at (col, row): (1, 0) exported with final state: COMPLETED
WARNING:root:ls8C1R0_328_24-Nov-2017 at (col, row): (1, 1) exported with final state: COMPLETED
WARNING:root:ls8C1R0_241_29-Aug-2017 at (col, row): (1, 2) exported with final state: COMPLETED
WARNING:root:ls8C1R0_248_05-Sep-2017 at (col, row): (1, 3) exported with final state: COMPLETED
WARNING:root:ls8C1R1_321_17-Nov-2017 at (col, row): (1, 4) exported with final state: COMPLETED
WARNING:root:ls8C1R1_328_24-Nov-2017 at (col, row): (1, 5) exported with final state: COMPLETED
WARNING:root:ls8C1R1_241_29-Aug-2017 at (col, row): (1, 6) exported with final state: COMPLETED
WARNING:root:ls8C1R1_248_05-Sep-2017 at (col, row): (1, 7) exported with final state: COMPLETED
WARNING:root:ls8C1R2_321_17-Nov-2017 at (col, row): (1, 8) exported with final state: COMPLETED
WARNING:root:ls8C1R2_328_24-Nov-2017 at (col, row): (1, 9) exported with final state: COMPLETED
WARNING:root:ls8C1R2_241_29-Aug-2017 at (col, row): (1, 10) exported with final state: COMPLETED
